competition,sport,competition_group,region,tier,home_team,away_team,kickoff_uk,venue,home_score,away_score,official_source
NWSL,Football,NWSL,USA,,Chicago Stars,Angel City,2026-07-18 23:30,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Racing Louisville,Houston Dash,2026-07-19 01:00,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Utah Royals,Orlando Pride,2026-07-19 01:45,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Boston Legacy,Washington Spirit,2026-07-20 00:00,-,1,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Houston Dash,Bay FC,2026-07-25 01:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Orlando Pride,Chicago Stars,2026-07-25 01:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Portland Thorns,Gotham FC,2026-07-25 03:00,-,2,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Boston Legacy,Kansas City Current,2026-07-25 22:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,North Carolina Courage,Utah Royals,2026-07-26 00:45,-,1,4,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,San Diego Wave,Seattle Reign,2026-07-26 22:00,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Washington Spirit,Denver Summit,2026-07-27 00:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Angel City,Racing Louisville,2026-07-27 02:00,-,1,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Kansas City Current,Racing Louisville,2026-07-30 01:00,-,5,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Utah Royals,Washington Spirit,2026-07-30 02:00,-,0,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Bay FC,Gotham FC,2026-07-30 03:00,-,0,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,North Carolina Courage,Orlando Pride,2026-08-01 01:00,-,5,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Racing Louisville,Chicago Stars,2026-08-01 21:00,-,2,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Kansas City Current,Angel City,2026-08-01 23:30,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Houston Dash,Gotham FC,2026-08-02 01:00,-,0,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Bay FC,Seattle Reign,2026-08-02 01:45,-,2,3,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Washington Spirit,San Diego Wave,2026-08-02 21:00,-,0,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Utah Royals,Portland Thorns,2026-08-03 00:00,-,5,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Denver Summit,Boston Legacy,2026-08-03 02:00,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Denver Summit,North Carolina Courage,2026-08-06 03:00,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Gotham FC,San Diego Wave,2026-08-08 01:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Denver Summit,Utah Royals,2026-08-08 21:00,-,2,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Washington Spirit,North Carolina Courage,2026-08-08 23:30,-,3,4,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Orlando Pride,Racing Louisville,2026-08-09 00:00,-,1,3,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Houston Dash,Kansas City Current,2026-08-09 01:45,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Boston Legacy,Portland Thorns,2026-08-09 21:00,-,3,4,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Chicago Stars,Bay FC,2026-08-10 00:00,-,0,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Seattle Reign,Angel City,2026-08-10 02:00,-,2,2,https://en.wikipedia.org/wiki/2026_NWSL_season
England Women U20 - Friendly,Football,England Women U20,England,,Portugal,England,2026-08-13 17:30,-,0,2,https://www.englandfootball.com/england/youth/Womens-U20
NWSL,Football,NWSL,USA,,Gotham FC,Kansas City Current,2026-08-15 01:00,-,2,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Utah Royals,Bay FC,2026-08-15 03:00,-,3,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,San Diego Wave,Denver Summit,2026-08-15 03:00,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Seattle Reign,Chicago Stars,2026-08-15 03:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Racing Louisville,Boston Legacy,2026-08-15 23:30,-,4,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Portland Thorns,Orlando Pride,2026-08-16 01:45,-,2,1,https://en.wikipedia.org/wiki/2026_NWSL_season
SWPL 1,Football,SWPL 1,Scotland,,Hibernian,Motherwell,2026-08-16 13:00,Meadowbank Stadium,7,0,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Montrose,Rangers,2026-08-16 13:00,Links Park,1,4,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Spartans,Partick Thistle,2026-08-16 13:00,The Vanloq Community Stadium,1,1,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Hearts,Aberdeen,2026-08-16 16:00,The Vanloq Community Stadium,6,0,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Glasgow City,Celtic,2026-08-16 16:10,Petershill Park,1,2,https://swpl.uk/match-centre/swpl/
NWSL,Football,NWSL,USA,,North Carolina Courage,Houston Dash,2026-08-17 00:00,-,2,3,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Angel City,Washington Spirit,2026-08-17 02:00,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Racing Louisville,Seattle Reign,2026-08-19 23:30,-,2,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Houston Dash,Chicago Stars,2026-08-20 01:00,-,5,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,San Diego Wave,Utah Royals,2026-08-20 03:00,-,4,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Kansas City Current,Seattle Reign,2026-08-20 23:30,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,North Carolina Courage,Boston Legacy,2026-08-21 00:30,-,2,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Portland Thorns,Denver Summit,2026-08-23 01:45,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
SWPL 1,Football,SWPL 1,Scotland,,Celtic,Montrose,2026-08-23 13:00,Kirkintilloch Community Sports Complex,3,0,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Aberdeen,Glasgow City,2026-08-23 13:00,Balmoral Stadium,0,3,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Partick Thistle,Hibernian,2026-08-23 13:00,Petershill Park,1,3,https://swpl.uk/match-centre/swpl/
Division 1 Midlands,Football,Division 1 Midlands,England,Tier 4,Worcester City Women,Barnsley Women,2026-08-23 14:00,Sixways Stadium,1,5,https://wnl.thefa.com/fixtures
Northern Premier Division,Football,Northern Premier Division,England,Tier 3,Derby County,Rugby Borough,2026-08-23 14:00,Mickleover FC,0,1,https://wnl.thefa.com/fixtures
Southern Premier Division,Football,Southern Premier Division,England,Tier 3,Real Bedford,Fulham,2026-08-23 14:00,The Ledger Stadium,1,4,https://wnl.thefa.com/fixtures
Division 1 Midlands,Football,Division 1 Midlands,England,Tier 4,Sheffield FC,Wythenshawe,2026-08-23 14:00,Home of Football Stadium,0,4,https://wnl.thefa.com/fixtures
Division 1 South East,Football,Division 1 South East,England,Tier 4,Milton Keynes Dons,Billericay Town,2026-08-23 14:00,Stadium MK,2,0,https://wnl.thefa.com/fixtures
Southern Premier Division,Football,Southern Premier Division,England,Tier 3,Portsmouth,Swindon Town,2026-08-23 14:00,Fratton Park,4,0,https://wnl.thefa.com/fixtures
Division 1 Midlands,Football,Division 1 Midlands,England,Tier 4,Northampton Town,Sporting Khalsa,2026-08-23 14:00,O'riordan Bond Stadium,0,1,https://wnl.thefa.com/fixtures
Division 1 South East,Football,Division 1 South East,England,Tier 4,Luton Town,Chatham Town,2026-08-23 14:00,Barton Rovers FC,1,2,https://wnl.thefa.com/fixtures
Southern Premier Division,Football,Southern Premier Division,England,Tier 3,Plymouth Argyle,AFC Wimbledon,2026-08-23 14:00,Home Park Stadium,0,6,https://wnl.thefa.com/fixtures
Division 1 South East,Football,Division 1 South East,England,Tier 4,Dulwich Hamlet,Saltdean United,2026-08-23 14:00,Champion Hill Stadium,2,2,https://wnl.thefa.com/fixtures
Southern Premier Division,Football,Southern Premier Division,England,Tier 3,Oxford United,Lewes,2026-08-23 14:00,The MGroup Stadium,3,0,https://wnl.thefa.com/fixtures
Division 1 Midlands,Football,Division 1 Midlands,England,Tier 4,Lye Town,Leafield Athletic,2026-08-23 14:00,Lye Town,2,4,https://wnl.thefa.com/fixtures
Division 1 Midlands,Football,Division 1 Midlands,England,Tier 4,Notts County,Kidderminster Harriers,2026-08-23 14:00,Coronation Park,3,0,https://wnl.thefa.com/fixtures
Division 1 South West,Football,Division 1 South West,England,Tier 4,Bridgwater United,Maidenhead United,2026-08-23 14:00,The Ethan Berry Pavilion,1,0,https://wnl.thefa.com/fixtures
Northern Premier Division,Football,Northern Premier Division,England,Tier 3,Stoke City,Boldmere St Michaels,2026-08-23 14:00,bet365 Stadium,5,1,https://wnl.thefa.com/fixtures
Northern Premier Division,Football,Northern Premier Division,England,Tier 3,Huddersfield Town,Loughborough Lightning,2026-08-23 14:00,Accu Stadium,5,1,https://wnl.thefa.com/fixtures
Division 1 South West,Football,Division 1 South West,England,Tier 4,Gwalia United,Bournemouth Sports,2026-08-23 14:00,University of South Wales Sports Park,1,0,https://wnl.thefa.com/fixtures
Division 1 North,Football,Division 1 North,England,Tier 4,Chester Le Street Town,Leeds United,2026-08-23 14:00,Moor Park,0,3,https://wnl.thefa.com/fixtures
Northern Premier Division,Football,Northern Premier Division,England,Tier 3,Hull City,Norwich City,2026-08-23 14:00,Versa Sportswear Stadium,0,2,https://wnl.thefa.com/fixtures
Division 1 South West,Football,Division 1 South West,England,Tier 4,Keynsham Town,Wycombe Wanderers,2026-08-23 14:00,The AJN Stadium,0,2,https://wnl.thefa.com/fixtures
Division 1 North,Football,Division 1 North,England,Tier 4,Durham Cestria,Blackburn Rovers,2026-08-23 14:00,Shildon AFC,3,4,https://wnl.thefa.com/fixtures
Division 1 South West,Football,Division 1 South West,England,Tier 4,Marine Academy Plymouth,Bristol Rovers,2026-08-23 14:00,Erme Valley,1,3,https://wnl.thefa.com/fixtures
Division 1 North,Football,Division 1 North,England,Tier 4,Halifax,Norton & Stockton Ancients,2026-08-23 14:00,Myra Shay,4,2,https://wnl.thefa.com/fixtures
Northern Premier Division,Football,Northern Premier Division,England,Tier 3,Peterborough United,Liverpool Feds,2026-08-23 14:00,Pims Park,3,2,https://wnl.thefa.com/fixtures
Division 1 South West,Football,Division 1 South West,England,Tier 4,Moneyfields,Abingdon United,2026-08-23 14:00,The John Jenkins Stadium,5,1,https://wnl.thefa.com/fixtures
Division 1 North,Football,Division 1 North,England,Tier 4,Thornaby,Chorley,2026-08-23 14:00,"Thornaby Football Club, Teesdale Park",3,0,https://wnl.thefa.com/fixtures
Division 1 South West,Football,Division 1 South West,England,Tier 4,Torquay United,Ascot United,2026-08-23 14:00,Plainmoor Stadium,6,0,https://wnl.thefa.com/fixtures
Division 1 North,Football,Division 1 North,England,Tier 4,York City,AFC Fylde,2026-08-23 14:00,Selby Town FC,1,2,https://wnl.thefa.com/fixtures
Division 1 South East,Football,Division 1 South East,England,Tier 4,Cambridge United,London Bees,2026-08-23 14:00,The Grange Road Stadium,0,1,https://wnl.thefa.com/fixtures
Division 1 North,Football,Division 1 North,England,Tier 4,Bradford City,Stockport County,2026-08-23 14:00,Horsfall Community Stadium,1,5,https://wnl.thefa.com/fixtures
Southern Premier Division,Football,Southern Premier Division,England,Tier 3,AFC Bournemouth,Cheltenham Town,2026-08-23 14:00,Bob Lucas Stadium,2,1,https://wnl.thefa.com/fixtures
Northern Premier Division,Football,Northern Premier Division,England,Tier 3,Middlesbrough,West Bromwich Albion,2026-08-23 14:00,Stockton Town FC,1,0,https://wnl.thefa.com/fixtures
Division 1 Midlands,Football,Division 1 Midlands,England,Tier 4,Chesterfield,Sutton Coldfield Town,2026-08-23 14:00,SMH Group Stadium,0,1,https://wnl.thefa.com/fixtures
Division 1 South East,Football,Division 1 South East,England,Tier 4,Stevenage,Dartford,2026-08-23 15:00,Herts County Ground,4,2,https://wnl.thefa.com/fixtures
Division 1 South East,Football,Division 1 South East,England,Tier 4,Actonians,Queens Park Rangers,2026-08-23 15:00,Bedfont Sports Club,3,0,https://wnl.thefa.com/fixtures
Southern Premier Division,Football,Southern Premier Division,England,Tier 3,Hashtag United,Exeter City,2026-08-23 15:00,"Redbridge Football Club, THE TECHSOC.COM STADIUM",1,1,https://wnl.thefa.com/fixtures
SWPL 1,Football,SWPL 1,Scotland,,Rangers,Spartans,2026-08-23 16:00,Broadwood Stadium,7,0,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Motherwell,Hearts,2026-08-23 16:00,The Bumblebee Stadium,0,5,https://swpl.uk/match-centre/swpl/
NWSL,Football,NWSL,USA,,Chicago Stars,Racing Louisville,2026-08-23 19:00,-,3,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Washington Spirit,Orlando Pride,2026-08-23 21:00,-,0,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Bay FC,Houston Dash,2026-08-23 23:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Angel City,Gotham FC,2026-08-24 01:00,-,0,0,https://en.wikipedia.org/wiki/2026_NWSL_season
UEFA Women's Champions League,Football,UWCL,Europe,,Brann,Austria Wien,2026-08-25 17:00,-,2,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
The FA WNL Cup,Football,FAWNL Cup,England,,Torquay United,Bridgwater United,2026-08-25 19:45,VX3 Stadium,1,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Actonians,Fulham,2026-08-25 19:45,Bedfont Sports Club,1,4,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Rugby Borough,Leicester City U21,2026-08-25 19:45,Nationwide Windows Arena,10,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Luton Town,Stevenage,2026-08-25 19:45,-,2,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Norwich City,Cambridge United,2026-08-25 19:45,The Nest,2,1,https://wnl.thefa.com/fixtures
UEFA Women's Champions League,Football,UWCL,Europe,,VfL Wolfsburg,Inter Milan,2026-08-26 17:00,-,2,0,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Sparta Prague,Servette Chênois,2026-08-26 17:30,-,3,2,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Eintracht Frankfurt,Paris Saint-Germain,2026-08-26 18:00,-,1,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Czarni Sosnowiec,OH Leuven,2026-08-26 18:00,-,1,4,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,PSV Eindhoven,HB Køge,2026-08-26 18:00,-,0,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Ajax,Real Madrid,2026-08-26 18:30,-,0,2,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Chelsea,Real Sociedad,2026-08-26 18:45,-,5,2,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
The FA WNL Cup,Football,FAWNL Cup,England,,Abingdon United,Oxford United,2026-08-26 19:45,Abingdon Untied FC,0,8,https://wnl.thefa.com/fixtures
UEFA Women's Champions League,Football,UWCL,Europe,,St. Pölten,Juventus,2026-08-26 19:45,-,0,3,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
The FA WNL Cup,Football,FAWNL Cup,England,,Lewes,Saltdean United,2026-08-26 19:45,The Dripping Pan,0,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Bristol Rovers,Keynsham Town,2026-08-26 19:45,Oaklands Park,4,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Huddersfield Town,Bradford City,2026-08-26 19:45,The Graham Leslie Arena,3,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Stockport County,Manchester United U21,2026-08-26 19:45,The Ground Up Solutions Stadium,0,4,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Real Bedford,Northampton Town,2026-08-26 19:45,The Ledger Stadium,5,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Blackburn Rovers,Manchester City U21,2026-08-26 19:45,Darwen FC,0,4,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Dartford,Crystal Palace U21,2026-08-26 19:45,Princes Park Stadium,4,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Chatham Town,London City Lionesses U21,2026-08-26 19:45,The Bauvill Stadium,3,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Marine Academy Plymouth,Plymouth Argyle,2026-08-26 19:45,Erme Valley,1,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Hashtag United,Billericay Town,2026-08-26 19:45,"Redbridge Football Club, THE TECHSOC.COM STADIUM",3,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Portsmouth,Brighton & Hove Albion U21,2026-08-26 19:45,The John Jenkins Stadium,2,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Bournemouth Sports,Southampton U21,2026-08-26 19:45,Chapel Gate. AGP Pitch,3,4,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Maidenhead United,Swindon Town,2026-08-26 19:45,Maidenhead Utd FC,2,5,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Worcester City Women,Kidderminster Harriers,2026-08-26 19:45,Sixways Stadium,0,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Exeter City,Bristol City U21,2026-08-26 19:45,Devon County FA (Coach Road),4,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Derby County,Barnsley Women,2026-08-26 19:45,Mickleover FC,4,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Sporting Khalsa,Lye Town,2026-08-26 20:00,"Sporting Khalsa FC, The Guardian Warehousing Arena",3,0,https://wnl.thefa.com/fixtures
NWSL,Football,NWSL,USA,,North Carolina Courage,Angel City,2026-08-27 01:00,-,2,0,https://en.wikipedia.org/wiki/2026_NWSL_season
The FA WNL Cup,Football,FAWNL Cup,England,,Wycombe Wanderers,Chelsea U21,2026-08-27 19:45,The 1878 Stadium,0,6,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Cheltenham Town,Gwalia United,2026-08-27 19:45,Bishops Cleeve FC,1,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Chester Le Street Town,Sunderland U21,2026-08-27 19:45,Moor Park,3,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Peterborough United,Notts County,2026-08-27 19:45,Pims Park,6,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Durham Cestria,Middlesbrough,2026-08-27 19:45,Shildon AFC,0,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Thornaby,Norton & Stockton Ancients,2026-08-27 19:45,"Thornaby Football Club, Teesdale Park",1,7,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Halifax,Leeds United,2026-08-27 19:45,Myra Shay,2,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,AFC Fylde,Liverpool U21,2026-08-27 19:45,Kellamergh Park,3,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,London Bees,Tottenham Hotspur U21,2026-08-27 19:45,London Bees Stadium,1,7,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Wythenshawe,Stoke City,2026-08-27 19:45,Avensure Community Stadium,0,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Moneyfields,AFC Bournemouth,2026-08-27 20:00,The John Jenkins Stadium,3,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Sheffield FC,Sheffield United U21,2026-08-27 20:00,The Steel City Stadium,1,2,https://wnl.thefa.com/fixtures
NWSL,Football,NWSL,USA,,Gotham FC,Portland Thorns,2026-08-29 01:00,-,1,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,San Diego Wave,Racing Louisville,2026-08-29 03:00,-,3,2,https://en.wikipedia.org/wiki/2026_NWSL_season
England Women U20 - Friendly,Football,England Women U20,England,,England,New Caledonia,2026-08-29 13:00,-,11,0,https://www.englandfootball.com/england/youth/Womens-U20
NWSL,Football,NWSL,USA,,Kansas City Current,North Carolina Courage,2026-08-29 23:30,-,3,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Orlando Pride,Utah Royals,2026-08-30 00:00,-,1,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Denver Summit,Chicago Stars,2026-08-30 01:45,-,6,1,https://en.wikipedia.org/wiki/2026_NWSL_season
SWPL 1,Football,SWPL 1,Scotland,,Montrose,Motherwell,2026-08-30 13:00,Links Park,1,3,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Aberdeen,Partick Thistle,2026-08-30 13:00,Balmoral Stadium,0,3,https://swpl.uk/match-centre/swpl/
