competition,sport,competition_group,region,tier,home_team,away_team,kickoff_uk,venue,home_score,away_score,official_source
Barclays WSL2,Football,WSL2,England,Tier 2,Ipswich Town,Nottingham Forest,2026-09-06 14:00,-,1,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League_2
The FA WNL Cup,Football,FAWNL Cup,England,,Leeds United,Huddersfield Town,2026-09-06 14:00,Garforth Town FC,3,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Stockport County,Barnsley Women,2026-09-06 14:00,The Ground Up Solutions Stadium,2,0,https://wnl.thefa.com/fixtures
Adran Premier,Football,Adran Premier,Wales,,Cardiff Met,The New Saints,2026-09-06 14:00,Cyncoed Stadium,0,2,https://faw.cymru/adran-leagues/adran-premier/fixtures-and-results/
The FA WNL Cup,Football,FAWNL Cup,England,,Derby County,Manchester United U21,2026-09-06 14:00,Mickleover FC,1,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Sheffield FC,Loughborough Lightning,2026-09-06 14:00,Loughborough University Stadium,0,8,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,AFC Fylde,Liverpool Feds,2026-09-06 14:00,Kellamergh Park,0,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Notts County,Leicester City U21,2026-09-06 14:00,Carlton Town FC,8,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Boldmere St Michaels,Aston Villa U21,2026-09-06 14:00,The Amber Arena and Community Stadium,2,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Chorley,Liverpool U21,2026-09-06 14:00,Euxton Villa FC,2,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Sutton Coldfield Town,Leafield Athletic,2026-09-06 14:00,The Domino’s Arena,1,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Sporting Khalsa,Birmingham City U21,2026-09-06 14:00,"Sporting Khalsa FC, The Guardian Warehousing Arena",2,0,https://wnl.thefa.com/fixtures
